id,pedido_id,sku,descripcion,gramaje,cantidad_pedida,cantidad_fisica,novedad,observaciones,auditado_por,auditado_en
22391,10728,7709399777465,King Cat - Arena Sanitaria,25 KG,1,1,sin_novedad,"",27,2026-02-27 18:15:58.350778
2503,1318,7709376807666,Pixie - Dieta Horneada Pollo Baja En Grasa Y Proteína,500 GR,10,,sin_novedad,,,
2504,1319,074198608126,Diamond Naturals - Indoor Cat Formula,6 LB,1,,sin_novedad,,,
9268,4561,7707205150235,Agility Gold - Grandes Adultos,15 KG,1,2,sobrante,Sobrante: 1 unidades,5,2026-02-13 01:32:07.509738
19870,9591,7707205154509,Agility Gold - Gatos,3 KG,1,1,sin_novedad,"",27,2026-02-27 14:56:35.670158
20259,9756,074198613946,Taste Of The Wild - High Praire Canine Bisonte Y Venado,14 LB,1,1,sin_novedad,"",27,2026-02-27 14:56:57.202236
20543,9868,052742790107,Hills Pd - Z/D Alimento Perro Sensibilidades Alimentarias,8 LB,1,1,sin_novedad,"",27,2026-02-27 14:57:05.787915
20194,9731,855958006556,Churu - Inaba Cat Atún,4 uds,2,2,sin_novedad,"",27,2026-02-27 14:58:11.872918
20093,9692,781159451218,Jv Cats  - Arena Sanitaria Café,5 KG,1,1,sin_novedad,"",27,2026-02-27 14:59:56.061134
20448,9822,753153844884,Wow Can - Alimento Congelado Salmón,500  GR,8,8,sin_novedad,"",27,2026-02-27 15:10:07.624556
19907,9607,7709666658350,Royal Canin - Tripack Alimento Húmedo  Adult Instinctive,255 GR,1,1,sin_novedad,"",27,2026-02-27 15:17:28.847724
19968,9639,7707205154516,Agility Gold - Gatos,7 KG,1,1,sin_novedad,"",27,2026-02-27 15:18:08.472752
19979,9645,052742887500,Hills Sd - Alimento Gato Adulto Control Bolas De Pelo Sabor Pollo,15 LB,1,1,sin_novedad,"",27,2026-02-27 15:18:32.651953
20155,9715,3182550811774,Royal Canin - West Highland White Terrier Adult,3 KG,1,1,sin_novedad,"",27,2026-02-27 15:22:54.157238
22156,10617,7898363315076,Formúla Natural - Fresh Meat Gato Adulto Pollo,1 KG,1,1,sin_novedad,"",21,2026-03-03 13:51:01.504724
