id,sku_antiguo,sku_nuevo,creado_por,fecha_creacion,activo
215,7702026188184,7702487193314,2,2026-02-24 21:14:21.126516,t
216,7702026184247,7702487190689,2,2026-02-24 21:14:21.12652,t
217,692130603638,6921306036385,2,2026-02-24 21:14:21.12652,t
218,7502010429190,7502010429909,2,2026-02-24 21:14:21.126521,t
219,7702521062477,7702521104788,2,2026-02-24 21:14:21.126523,t
220,6972228791661,6921306037054,2,2026-02-24 21:14:21.126523,t
221,7501072214546,7891000246344,2,2026-02-24 21:14:21.126524,t
222,57094583,96801463,2,2026-02-24 21:14:21.126524,t
223,57061815,96768695,2,2026-02-24 21:14:21.126524,t
224,96334519,95908535,2,2026-02-24 21:14:21.126525,t
225,96301751,95875767,2,2026-02-24 21:14:21.126525,t
226,96268983,95842999,2,2026-02-24 21:14:21.126526,t
227,7702521104788,7702521062477,2,2026-02-24 21:14:21.126526,t
228,5414736054902,5414736065038,2,2026-02-24 21:14:21.126526,t
229,5414736054896,5414736065021,2,2026-02-24 21:14:21.126526,t
230,5414736054872,5414736065014,2,2026-02-24 21:14:21.126527,t
231,5414736054926,5414736064994,2,2026-02-24 21:14:21.126527,t
232,5414736054919,5414736065045,2,2026-02-24 21:14:21.126527,t
233,5414736054889,5414736065007,2,2026-02-24 21:14:21.126528,t
234,6972228798769,6921300020137,2,2026-02-24 21:14:21.126528,t
235,5060251320345,5060251321410,2,2026-02-24 21:14:21.126528,t
236,5060251320338,5060251321397,2,2026-02-24 21:14:21.126528,t
237,7703220044481,164100000247,2,2026-02-24 21:14:21.126529,t
238,7703220044450,164100000246,2,2026-02-24 21:14:21.126529,t
239,7703220044726,164100000245,2,2026-02-24 21:14:21.126529,t
240,7703220044719,164100000244,2,2026-02-24 21:14:21.126529,t
241,7703220044443,164100000243,2,2026-02-24 21:14:21.12653,t
242,7703220044436,164100000242,2,2026-02-24 21:14:21.12653,t
243,7703220024919,164100000241,2,2026-02-24 21:14:21.12653,t
244,7703220040780,164100000240,2,2026-02-24 21:14:21.12653,t
245,7703220046157,164100000239,2,2026-02-24 21:14:21.126531,t
246,7703220009909,164100000238,2,2026-02-24 21:14:21.126531,t
247,7703220023431,164100000237,2,2026-02-24 21:14:21.126531,t
248,7703220024926,164100000236,2,2026-02-24 21:14:21.126532,t
